,extractor,n_features,selection_method,model,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std,f1_avg,f1_std
36,ResNet50,250,SelectKBest(k=250),KNeighborsClassifier(n_neighbors=17),0.8470538720538722,0.00353735713627115,0.8531126321197402,0.005904794698870055,0.9495928804513983,0.004132681298765021,0.8987437607343522,0.0018104891515515686
37,ResNet50,250,SelectKBest(k=250),GaussianNB(),0.7734006734006734,0.006026606841639299,0.8635786662915736,0.007541672907449189,0.8112113340418496,0.008083679313708304,0.8365250572644349,0.004401322364588403
38,ResNet50,250,SelectKBest(k=250),"SVC(C=1, gamma='auto', kernel='linear')",0.8591750841750843,0.007536373496834806,0.8609321342589673,0.0067066026048799125,0.9577199502790738,0.0032767327813801772,0.9067415595603648,0.0047516914291680125
39,ResNet50,250,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1),
                max_features=250, threshold='1.25*median')",KNeighborsClassifier(n_neighbors=13),0.8548821548821548,0.004481088099059279,0.8607275006403265,0.005556788590110497,0.9508883837301927,0.00513528903228066,0.9035405906932406,0.002786865519718642
40,ResNet50,250,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1),
                max_features=250, threshold='1.25*median')",GaussianNB(),0.7678451178451178,0.004427001276870269,0.8699721292558715,0.005345781958085999,0.7938995501406981,0.006894261765292188,0.8301637272768152,0.0035273811379083046
41,ResNet50,250,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1),
                max_features=250, threshold='1.25*median')","SVC(C=1, gamma='auto', kernel='linear')",0.865151515151515,0.005510736465768634,0.8671934468820502,0.004387291332251862,0.9580730991901978,0.004155847038692522,0.9103646727751954,0.00360024688092715
42,ResNet50,250,PCA(n_components=250),KNeighborsClassifier(n_neighbors=17),0.840993265993266,0.0029328706044081123,0.8522654704737546,0.004999938835416664,0.9406426977415524,0.0034875785171036354,0.8942565088894808,0.001519071704817659
43,ResNet50,250,PCA(n_components=250),GaussianNB(),0.8406565656565658,0.014101776258373932,0.843183912566414,0.011780265728309319,0.9547751708723554,0.005075465268998795,0.8954961892624302,0.008715425055294053
44,ResNet50,250,PCA(n_components=250),"SVC(C=10, gamma='auto')",0.8694444444444442,0.005352900032183388,0.8653611973922122,0.004821735575781405,0.9679661215528291,0.001956128057180423,0.9137879295489592,0.003345645192026977
45,ResNet50,300,SelectKBest(k=300),KNeighborsClassifier(n_neighbors=13),0.8494107744107744,0.002706723096096549,0.856917977896369,0.00484134909932794,0.9475905247387952,0.005088749333224206,0.8999516257075534,0.0015867747160656126
46,ResNet50,300,SelectKBest(k=300),GaussianNB(),0.7721380471380472,0.00434623927388066,0.8621425688851767,0.0067823856520639585,0.8109759014344334,0.00839610943821711,0.8357190260327174,0.003427103551861052
47,ResNet50,300,SelectKBest(k=300),"SVC(C=1, gamma='auto', kernel='linear')",0.8632154882154882,0.007448424850380112,0.8662438515684107,0.005719041106840479,0.9563069386759064,0.004151444514800949,0.9090467565302618,0.004823805222153557
48,ResNet50,300,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1),
                max_features=300, threshold='1.25*median')",KNeighborsClassifier(n_neighbors=17),0.8529461279461279,0.0057498422080599415,0.8576508791389287,0.006950819175658866,0.9524197355750733,0.002925661641055741,0.9025316394141422,0.003359829082400369
49,ResNet50,300,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1),
                max_features=300, threshold='1.25*median')",GaussianNB(),0.773063973063973,0.003960703823575301,0.8706097228354404,0.004486051616133441,0.8016718765490127,0.006350992738660704,0.834694064592577,0.0032230611504247613
50,ResNet50,300,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1),
                max_features=300, threshold='1.25*median')","SVC(C=1, gamma='auto', kernel='linear')",0.870959595959596,0.006555936861488499,0.8741171706193868,0.005897683303394503,0.9573663160828341,0.003606948033738856,0.9138410987414632,0.004203684603143699
51,ResNet50,300,PCA(n_components=300),KNeighborsClassifier(n_neighbors=17),0.841077441077441,0.004450944130101757,0.8520568938401493,0.005603741932311167,0.9411138402621649,0.003143514930911619,0.8943564921029898,0.002606391661917293
52,ResNet50,300,PCA(n_components=300),GaussianNB(),0.8384680134680135,0.013964948355145095,0.8419281306313093,0.013471132458038024,0.9532436803745845,0.005771750013773366,0.8940753950699429,0.008377990436827368
53,ResNet50,300,PCA(n_components=300),"SVC(C=10, gamma='auto')",0.8691919191919191,0.0049038759810200285,0.8641889670087342,0.005600209180795912,0.969378855850216,0.002390371764119798,0.9137531707597095,0.00294348622144882
54,ResNet50,350,SelectKBest(k=350),KNeighborsClassifier(n_neighbors=13),0.8474747474747474,0.004171552758708383,0.8564388125807826,0.006492906104942648,0.9451175811171403,0.003686172476691814,0.8985674376847236,0.002210517168195822
55,ResNet50,350,SelectKBest(k=350),GaussianNB(),0.7680976430976431,0.005263467407698146,0.8639562735402405,0.007025332200664551,0.8019077251150991,0.007733478929711798,0.8317279313241533,0.003925331793200484
56,ResNet50,350,SelectKBest(k=350),"SVC(C=1, gamma='auto', kernel='linear')",0.8657407407407407,0.00671292997891479,0.8680785380150924,0.005089399729138808,0.9577194649939582,0.005183380631380579,0.9106909347002295,0.004432713341345568
57,ResNet50,350,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1),
                max_features=350, threshold='1.25*median')",KNeighborsClassifier(n_neighbors=13),0.8536195286195285,0.003253560284526529,0.8621369024815128,0.0055152321527382,0.9466485170033506,0.005387058149142233,0.9023891179523116,0.0019121932037063087
58,ResNet50,350,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1),
                max_features=350, threshold='1.25*median')",GaussianNB(),0.7699494949494949,0.002886604073986909,0.8726935622806238,0.004128124415774147,0.7940169198121809,0.008127980504634593,0.8314545857160912,0.00307723690270111
59,ResNet50,350,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1),
                max_features=350, threshold='1.25*median')","SVC(C=1, gamma='auto', kernel='linear')",0.8682659932659931,0.004618136944223994,0.8715204632349491,0.005144497812215641,0.9567775959114035,0.002317145808345725,0.9121507080220116,0.002825605232447547
60,ResNet50,350,PCA(n_components=350),KNeighborsClassifier(n_neighbors=17),0.8414141414141414,0.004178341294946405,0.8516828988323877,0.006031298374543494,0.9422916272372511,0.002913117398849034,0.89467716123846,0.0022587327437235895
61,ResNet50,350,PCA(n_components=350),GaussianNB(),0.8400673400673402,0.01326926159127479,0.8446279925540281,0.013765557095997765,0.9515953748168915,0.004511022640646926,0.8948581389501926,0.007800801209332837
62,ResNet50,350,PCA(n_components=350),"SVC(C=10, gamma='auto')",0.8691919191919191,0.005760922098406974,0.8638017984409675,0.00576343900650909,0.9699680613067618,0.0022053928536335528,0.9138017126541582,0.0035445112353477584
63,ResNet50,400,SelectKBest(k=400),KNeighborsClassifier(n_neighbors=15),0.847053872053872,0.003255737307376034,0.8553438110428381,0.0047622516789791024,0.946059588852585,0.004184709946902167,0.8983987102881935,0.0019175275106606028
64,ResNet50,400,SelectKBest(k=400),GaussianNB(),0.765151515151515,0.0058741906809319355,0.866034155786409,0.006393319721450867,0.7943705540084205,0.008421896363436683,0.828610865312623,0.004630495529354153
65,ResNet50,400,SelectKBest(k=400),"SVC(C=1, gamma='auto', kernel='linear')",0.8665824915824916,0.005506877856497014,0.8709198980846342,0.005236937396682577,0.9548928871760636,0.003432179321600551,0.9109661221740802,0.0035170856352542868
66,ResNet50,400,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1),
                max_features=400, threshold='1.25*median')",KNeighborsClassifier(n_neighbors=13),0.8536195286195285,0.0021361241650588517,0.8603515760901962,0.004889345948359431,0.9493573091910921,0.005045893218574323,0.90263955514292,0.001096339412309387
67,ResNet50,400,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1),
                max_features=400, threshold='1.25*median')",GaussianNB(),0.7686026936026936,0.0034233500686301046,0.8714592499839247,0.004219362301803823,0.7933105526634874,0.0076968837808699415,0.8305125898085464,0.0032355427249221094
68,ResNet50,400,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1),
                max_features=400, threshold='1.25*median')","SVC(C=1, gamma='auto', kernel='linear')",0.8703703703703705,0.005422600474210938,0.8746736499768927,0.005763677920712564,0.9555998782627626,0.0017747702494035184,0.9133377061226584,0.003349685360639655
69,ResNet50,400,PCA(n_components=400),KNeighborsClassifier(n_neighbors=17),0.8413299663299663,0.003801882084389318,0.8518021780287006,0.005263556323226921,0.9419383396732368,0.002926876617849021,0.8945886206291043,0.0021271342019451443
70,ResNet50,400,PCA(n_components=400),GaussianNB(),0.8406565656565655,0.011028542304680132,0.8491918869837496,0.010369232401960847,0.9451182050551458,0.013339028808118924,0.8944930846498972,0.007268704440181078
71,ResNet50,400,PCA(n_components=400),"SVC(C=10, gamma='auto')",0.8685185185185184,0.004434996590006539,0.8635301602569203,0.0049793283466562695,0.9692612781993981,0.001989112211151995,0.9133359839153767,0.0026728926713603884
72,ResNet50,450,SelectKBest(k=450),KNeighborsClassifier(n_neighbors=17),0.845959595959596,0.003792552298339666,0.8537905061145066,0.005306095081266279,0.9466487943091308,0.0028613909084071083,0.8978078034361181,0.0020983392163476653
73,ResNet50,450,SelectKBest(k=450),GaussianNB(),0.7636363636363637,0.004222200742082299,0.8668628461452172,0.005881678394310732,0.7908373317360521,0.007940352537777825,0.8270594606563199,0.003526696882874397
74,ResNet50,450,SelectKBest(k=450),"SVC(C=1, gamma='auto', kernel='linear')",0.8678451178451179,0.005602545889661195,0.8727912833599578,0.004506353705057199,0.9541866586802602,0.0032786179371777006,0.9116725991402037,0.00365019381884898
75,ResNet50,450,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1),
                max_features=450, threshold='1.25*median')",KNeighborsClassifier(n_neighbors=11),0.8541245791245791,0.004869075711777639,0.8647920681390768,0.005434948247580422,0.9434689289272218,0.005605184223267637,0.9023959002100709,0.003145354840047776
76,ResNet50,450,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1),
                max_features=450, threshold='1.25*median')",GaussianNB(),0.769023569023569,0.004127155108461716,0.8704987801290421,0.005599182841824699,0.7951951227459373,0.006448760318169392,0.8311116086654359,0.0031803052430948555
77,ResNet50,450,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1),
                max_features=450, threshold='1.25*median')","SVC(C=1, gamma='auto', kernel='linear')",0.8687710437710437,0.003906667133290317,0.8740737251633224,0.003847746717380877,0.9538335097691361,0.0031511336059631754,0.9122063419253976,0.002502733160700909
78,ResNet50,450,PCA(n_components=450),KNeighborsClassifier(n_neighbors=21),0.8403198653198654,0.002505534691268866,0.8501027223358933,0.003951300672933286,0.9428803474086814,0.002939262942380112,0.8940789677306323,0.001368414030065663
79,ResNet50,450,PCA(n_components=450),GaussianNB(),0.8329966329966328,0.016381518128648943,0.8529328375106193,0.009941491273017584,0.9265100859578592,0.033172375476772015,0.8877711661311805,0.013312108846973272
80,ResNet50,450,PCA(n_components=450),"SVC(C=0.1, gamma='auto', kernel='linear')",0.8703703703703702,0.004761661826172027,0.8696471846051501,0.00513764642826138,0.9630194717186236,0.0013685139537657144,0.9139463338282571,0.002904623823140771
