,extractor,n_features,selection_method,model,accuracy_avg,accuracy_std,precision_avg,precision_std,recall_avg,recall_std,f1_avg,f1_std
48,VGG19,250,SelectKBest(k=250),KNeighborsClassifier(n_neighbors=23),0.8191919191919192,0.009825796191082663,0.8519118759569653,0.006875534167543873,0.9042516522225019,0.009907085038563055,0.8772743505845932,0.00682846190803467
49,VGG19,250,SelectKBest(k=250),GaussianNB(),0.6812289562289562,0.014281513011382009,0.8809288694070375,0.011101321375729745,0.6405613084950547,0.014596767081815872,0.7417038081102155,0.012722083713877083
50,VGG19,250,SelectKBest(k=250),"SVC(C=1, gamma='auto', kernel='linear')",0.8393097643097643,0.00819746048750159,0.8497168391381127,0.007614444700851075,0.9418208313488637,0.0026685856096611334,0.8933884300611755,0.005035063750381143
51,VGG19,250,"RFE(estimator=RandomForestClassifier(n_jobs=-1), n_features_to_select=250)",KNeighborsClassifier(n_neighbors=29),0.8167508417508417,0.008202644925979666,0.8525996951090276,0.005443470670524075,0.8990692924750997,0.008986019685156497,0.8751956310048676,0.005816651362015775
52,VGG19,250,"RFE(estimator=RandomForestClassifier(n_jobs=-1), n_features_to_select=250)",GaussianNB(),0.7186026936026937,0.013722346041962862,0.8769284420157207,0.011406762008977634,0.7053343233149688,0.014462390424445703,0.7817524283608446,0.01147661018520638
53,VGG19,250,"RFE(estimator=RandomForestClassifier(n_jobs=-1), n_features_to_select=250)","SVC(C=1, gamma='auto', kernel='linear')",0.8414983164983164,0.00779063027755324,0.8518992649014375,0.006621982113970021,0.9420565412620603,0.00338078234599103,0.8947052087356793,0.004892949845513283
54,VGG19,250,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=5),
                max_features=250, threshold='1.25*median')",KNeighborsClassifier(n_neighbors=23),0.8226430976430976,0.013326806040968356,0.853067340174691,0.006709280434735955,0.9082562943212628,0.013267038561525108,0.8797796866739924,0.009461666134728453
55,VGG19,250,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=5),
                max_features=250, threshold='1.25*median')",GaussianNB(),0.7146464646464646,0.015179547580942577,0.8777472279498962,0.012495841639954484,0.6980327927950413,0.01588214379973997,0.7775554854044786,0.012772595019946393
56,VGG19,250,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=5),
                max_features=250, threshold='1.25*median')","SVC(C=1, gamma='auto', kernel='linear')",0.8382996632996633,0.005046294541185809,0.8478652696553592,0.004492719099755924,0.9429985489975049,0.004875416200042535,0.8928925279276324,0.003263998827195874
57,VGG19,250,PCA(n_components=250),KNeighborsClassifier(n_neighbors=29),0.8165824915824915,0.008837982995560073,0.8513714726591879,0.004974214365024909,0.9006015455637663,0.009481491424605972,0.8752776568878036,0.006280829607982533
58,VGG19,250,PCA(n_components=250),GaussianNB(),0.5826599326599327,0.014254199906228553,0.8260605219001835,0.00953145285821818,0.5269129419300899,0.016096928917863847,0.6433545676216056,0.014741560082931733
59,VGG19,250,PCA(n_components=250),"SVC(C=1, gamma='auto', kernel='linear')",0.8397306397306398,0.010882376777082276,0.8520019779951827,0.007614933708796864,0.9388771611652666,0.006905467214142311,0.8933287483875298,0.007124333308193081
60,VGG19,300,SelectKBest(k=300),KNeighborsClassifier(n_neighbors=29),0.8188552188552188,0.011573997551017278,0.8517747512447613,0.008171840050754404,0.9038991965758283,0.010749942031113598,0.8770337646072827,0.007950585863820523
61,VGG19,300,SelectKBest(k=300),GaussianNB(),0.6751683501683502,0.01723514396872214,0.8790407722592084,0.010613720309826977,0.6324355558698354,0.018888831093372353,0.7355426934039511,0.016017565994513677
62,VGG19,300,SelectKBest(k=300),"SVC(C=1, gamma='auto', kernel='linear')",0.842003367003367,0.007045610423515656,0.8527335028975116,0.005795965186144325,0.9415859533530082,0.0033872829501056813,0.8949549533599059,0.004470484316838455
63,VGG19,300,"RFE(estimator=RandomForestClassifier(n_jobs=-1), n_features_to_select=300)",KNeighborsClassifier(n_neighbors=29),0.8148148148148147,0.010005865028363087,0.8518297166955493,0.006188055085845748,0.8969499137232392,0.011776737714643649,0.8737703492840068,0.007207107794625941
64,VGG19,300,"RFE(estimator=RandomForestClassifier(n_jobs=-1), n_features_to_select=300)",GaussianNB(),0.7097643097643097,0.01249255806767003,0.8775649466223214,0.010553368173939712,0.6902601197545012,0.012496688352148863,0.7726735424663657,0.010450021686886987
65,VGG19,300,"RFE(estimator=RandomForestClassifier(n_jobs=-1), n_features_to_select=300)","SVC(C=1, gamma='auto', kernel='linear')",0.8425925925925926,0.009949053412183412,0.8531593105041656,0.007907643735467337,0.9419393102434676,0.004544504752009941,0.8953483034924867,0.0063302637576919275
66,VGG19,300,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=5),
                max_features=300, threshold='1.25*median')",KNeighborsClassifier(n_neighbors=23),0.8226430976430976,0.013326806040968356,0.853067340174691,0.006709280434735955,0.9082562943212628,0.013267038561525108,0.8797796866739924,0.009461666134728453
67,VGG19,300,"SelectFromModel(estimator=RandomForestClassifier(n_estimators=200, n_jobs=-1,
                                                 random_state=5),
                max_features=300, threshold='1.25*median')",GaussianNB(),0.7146464646464646,0.015179547580942577,0.8777472279498962,0.012495841639954484,0.6980327927950413,0.01588214379973997,0.7775554854044786,0.012772595019946393
